scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9227,1080,0.117,0.7082,0.2792,0.6,5.13,0.0278,0.2257,0.6,0.0056,5.13,0.48,0.0444,4.1,0.7057,0.0207
tax_family,9227,1080,0.117,0.5218,0.2213,0.6,5.13,0.0278,0.2254,0.7,0.0065,5.98,0.49,0.0454,4.19,0.5846,0.1746
tax_genus,6118,959,0.1568,0.5946,0.265,0.58,3.7,0.0302,0.2315,0.6,0.0063,3.83,0.48,0.0501,3.06,0.6315,0.0295
temporal,4605,247,0.0536,0.1365,0.0636,0.16,2.98,0.0324,0.218,0.4,0.0162,7.46,0.15,0.0607,2.8,0.1365,0.0
