scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,6872,1078,0.1569,0.4973,0.156,0.16,1.02,0.0074,0.1323,0.1,0.0009,0.64,0.15,0.0139,0.96,0.5,0.0
tax_family,6872,1078,0.1569,0.4264,0.1403,0.18,1.15,0.0083,0.1336,0.2,0.0019,1.27,0.17,0.0158,1.08,0.5,0.0
tax_genus,4702,958,0.2037,0.4702,0.1932,0.12,0.59,0.0063,0.1624,0.2,0.0021,0.98,0.17,0.0177,0.83,0.5,0.0
temporal,3444,247,0.0717,0.5,0.0717,0.06,0.84,0.0121,0.0957,0.0,0.0,0.0,0.06,0.0243,0.84,0.5,0.0
