scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9197,1078,0.1172,0.9077,0.7255,0.98,8.36,0.0455,0.0751,1.0,0.0093,8.53,0.99,0.0918,8.45,0.9078,0.008
tax_family,9197,1078,0.1172,0.6596,0.1795,0.2,1.71,0.0093,0.1211,0.0,0.0,0.0,0.21,0.0195,1.79,0.6876,0.0717
tax_genus,6094,958,0.1572,0.7458,0.4694,0.96,6.11,0.0501,0.1215,1.0,0.0104,6.36,0.96,0.1002,6.11,0.7471,0.053
temporal,4598,247,0.0537,0.885,0.6794,1.0,18.62,0.2024,0.0832,1.0,0.0405,18.62,0.94,0.3806,17.5,0.885,0.0
