name,random_roc_auc,random_pr_auc,random_lift@50,random_p@50,tax_family_roc_auc,tax_family_pr_auc,tax_family_lift@50,tax_family_p@50,tax_genus_roc_auc,tax_genus_pr_auc,tax_genus_lift@50,tax_genus_p@50,effort_only_random_roc_auc_pt,effort_only_random_roc_auc_lo,effort_only_random_pr_auc_pt,effort_only_random_pr_auc_lo,effort_only_random_lift@50_pt,effort_only_random_lift@50_lo,effort_only_tax_family_roc_auc_pt,effort_only_tax_family_roc_auc_lo,effort_only_tax_family_pr_auc_pt,effort_only_tax_family_pr_auc_lo,effort_only_tax_family_lift@50_pt,effort_only_tax_family_lift@50_lo,effort_only_tax_genus_roc_auc_pt,effort_only_tax_genus_roc_auc_lo,effort_only_tax_genus_pr_auc_pt,effort_only_tax_genus_pr_auc_lo,effort_only_tax_genus_lift@50_pt,effort_only_tax_genus_lift@50_lo,esm15B_xgboost_random_roc_auc_pt,esm15B_xgboost_random_roc_auc_lo,esm15B_xgboost_random_pr_auc_pt,esm15B_xgboost_random_pr_auc_lo,esm15B_xgboost_random_lift@50_pt,esm15B_xgboost_random_lift@50_lo,esm15B_xgboost_tax_family_roc_auc_pt,esm15B_xgboost_tax_family_roc_auc_lo,esm15B_xgboost_tax_family_pr_auc_pt,esm15B_xgboost_tax_family_pr_auc_lo,esm15B_xgboost_tax_family_lift@50_pt,esm15B_xgboost_tax_family_lift@50_lo,esm15B_xgboost_tax_genus_roc_auc_pt,esm15B_xgboost_tax_genus_roc_auc_lo,esm15B_xgboost_tax_genus_pr_auc_pt,esm15B_xgboost_tax_genus_pr_auc_lo,esm15B_xgboost_tax_genus_lift@50_pt,esm15B_xgboost_tax_genus_lift@50_lo,A_baseline_clean_tax_family_roc_auc_pt,A_baseline_clean_tax_family_roc_auc_lo,A_baseline_clean_tax_family_pr_auc_pt,A_baseline_clean_tax_family_pr_auc_lo,A_baseline_clean_tax_family_lift@50_pt,A_baseline_clean_tax_family_lift@50_lo,A_baseline_clean_tax_genus_roc_auc_pt,A_baseline_clean_tax_genus_roc_auc_lo,A_baseline_clean_tax_genus_pr_auc_pt,A_baseline_clean_tax_genus_pr_auc_lo,A_baseline_clean_tax_genus_lift@50_pt,A_baseline_clean_tax_genus_lift@50_lo
A_deconf_clean,0.9134,0.7263,8.37,0.98,0.774,0.3511,6.15,0.72,0.8064,0.5543,6.11,0.96,,,,,,,0.1425,-0.023,0.0476,-0.0391,0.3415,-0.996,0.1386,-0.0589,0.2056,-0.0634,1.7827,-0.9209,,,,,,,0.0167,-0.0266,0.0584,-0.0135,1.3662,-0.6923,-0.0098,-0.0359,-0.0176,-0.052,0.1273,-0.1351,0.2865,0.1375,0.1784,0.1304,1.1954,-0.134,0.2676,0.1194,0.3363,0.1213,2.674,0.151
E_deconf_fusion,0.9279,0.754,8.2,0.96,0.7978,0.3577,6.32,0.74,0.8265,0.5821,6.24,0.98,,,,,,,0.1663,-0.0074,0.0541,-0.0381,0.5123,-1.1782,0.1587,-0.0323,0.2334,-0.0446,1.91,-0.5508,,,,,,,0.0405,0.0013,0.065,0.0023,1.5369,-0.7177,0.0103,-0.01,0.0103,-0.02,0.2547,0.0,0.3103,0.1565,0.185,0.1335,1.3662,-0.2046,0.2878,0.1452,0.3641,0.137,2.8014,0.6038
B_genome_only,0.8988,0.7017,8.37,0.98,0.7605,0.2906,4.44,0.52,0.7917,0.5402,5.98,0.94,,,,,,,0.129,-0.0411,-0.013,-0.125,-1.3662,-3.3131,0.124,-0.0707,0.1915,-0.1202,1.6554,-2.3826,,,,,,,0.0032,-0.019,-0.0021,-0.0505,-0.3415,-1.8338,-0.0244,-0.0473,-0.0317,-0.0596,0.0,-0.5645,0.273,0.1205,0.1178,0.0493,-0.5123,-2.4284,0.253,0.1017,0.3222,0.0702,2.5467,-1.2018
B_fusion_clean_dro,0.9129,0.7237,8.03,0.94,0.7824,0.3268,5.64,0.66,0.8037,0.5414,5.86,0.92,,,,,,,0.1509,-0.0356,0.0232,-0.0872,-0.1708,-2.6709,0.1359,-0.0535,0.1928,-0.0935,1.528,-1.8365,,,,,,,0.0251,-0.0311,0.0341,-0.0477,0.8539,-1.8622,-0.0125,-0.0336,-0.0304,-0.0555,-0.1273,-0.5841,0.2949,0.1252,0.154,0.0849,0.6831,-1.4264,0.2649,0.1193,0.3235,0.0866,2.4194,-0.4541
B_fusion_clean_lr,0.8926,0.6207,7.86,0.92,0.8049,0.3464,3.59,0.42,0.8217,0.5335,4.71,0.74,,,,,,,0.1734,-0.0179,0.0428,-0.0899,-2.22,-3.6583,0.1539,-0.0289,0.1849,-0.0651,0.382,-2.9046,,,,,,,0.0476,-0.0012,0.0537,-0.0166,-1.1954,-3.1073,0.0055,-0.0186,-0.0383,-0.0684,-1.2734,-2.1359,0.3174,0.1452,0.1737,0.0794,-1.3662,-2.7782,0.283,0.1384,0.3156,0.1136,1.2734,-1.5909
B_fusion_clean_pca256,0.9254,0.7538,8.37,0.98,0.7742,0.3194,5.81,0.68,0.8169,0.5672,6.11,0.96,,,,,,,0.1427,-0.0257,0.0158,-0.0804,0.0,-2.4227,0.1491,-0.038,0.2185,-0.0702,1.7827,-1.1772,,,,,,,0.0169,-0.0161,0.0267,-0.0388,1.0246,-1.6588,0.0007,-0.018,-0.0047,-0.0327,0.1273,-0.212,0.2867,0.1347,0.1467,0.092,0.8539,-1.2156,0.2782,0.1344,0.3492,0.1102,2.674,0.1378
B_fusion_clean_pca64,0.9248,0.7504,8.37,0.98,0.746,0.2929,5.29,0.62,0.8123,0.5641,6.24,0.98,,,,,,,0.1145,-0.0362,-0.0106,-0.0988,-0.5123,-3.0326,0.1446,-0.0465,0.2154,-0.0777,1.91,-0.4393,,,,,,,-0.0112,-0.0355,0.0002,-0.0604,0.5123,-2.2688,-0.0038,-0.0245,-0.0078,-0.0355,0.2547,0.0,0.2586,0.1274,0.1202,0.0667,0.3415,-1.6974,0.2736,0.1262,0.3461,0.1069,2.8014,0.7668
B_deconf_clean_dro,0.9134,0.7263,8.37,0.98,0.774,0.3511,6.15,0.72,0.8064,0.5543,6.11,0.96,,,,,,,0.1425,-0.023,0.0476,-0.0391,0.3415,-0.996,0.1386,-0.0589,0.2056,-0.0634,1.7827,-0.9209,,,,,,,0.0167,-0.0266,0.0584,-0.0135,1.3662,-0.6923,-0.0098,-0.0359,-0.0176,-0.052,0.1273,-0.1351,0.2865,0.1375,0.1784,0.1304,1.1954,-0.134,0.2676,0.1194,0.3363,0.1213,2.674,0.151
E_deconf_fusion,0.9279,0.754,8.2,0.96,0.7978,0.3577,6.32,0.74,0.8265,0.5821,6.24,0.98,,,,,,,0.1663,-0.0074,0.0541,-0.0381,0.5123,-1.1782,0.1587,-0.0323,0.2334,-0.0446,1.91,-0.5508,,,,,,,0.0405,0.0013,0.065,0.0023,1.5369,-0.7177,0.0103,-0.01,0.0103,-0.02,0.2547,0.0,0.3103,0.1565,0.185,0.1335,1.3662,-0.2046,0.2878,0.1452,0.3641,0.137,2.8014,0.6038
E_genome_host,0.8047,0.4259,7.51,0.88,0.668,0.2697,6.32,0.74,0.7256,0.3641,5.09,0.8,,,,,,,0.0365,-0.0488,-0.0339,-0.0909,0.5123,-0.8603,0.0579,-0.0954,0.0155,-0.1205,0.764,-0.4779,,,,,,,-0.0893,-0.176,-0.023,-0.0999,1.5369,-0.3499,-0.0905,-0.1504,-0.2077,-0.3361,-0.8913,-1.8749,0.1805,0.1223,0.0969,0.0575,1.3662,0.1369,0.1869,0.1017,0.1462,0.0672,1.6554,0.3602
E_all,0.9046,0.6054,7.34,0.86,0.7741,0.3408,6.66,0.78,0.8099,0.46,5.09,0.8,,,,,,,0.1427,0.0027,0.0372,-0.0311,0.8539,-0.796,0.1422,-0.0346,0.1113,-0.0702,0.764,-0.5254,,,,,,,0.0169,-0.0126,0.0481,-0.0203,1.8785,-0.3119,-0.0062,-0.0349,-0.1118,-0.1953,-0.8913,-2.1008,0.2867,0.1658,0.1681,0.133,1.7077,0.1161,0.2712,0.1483,0.242,0.1139,1.6554,0.3037
C_fusion_clean_pw,0.9267,0.7324,7.68,0.9,0.7633,0.3315,6.49,0.76,0.8228,0.5686,5.73,0.9,,,,,,,0.1318,-0.0294,0.0279,-0.0541,0.6831,-1.2165,0.155,-0.0304,0.22,-0.0356,1.4007,-0.2312,,,,,,,0.006,-0.0182,0.0388,-0.0234,1.7077,-0.5598,0.0066,-0.0113,-0.0032,-0.0394,-0.2547,-0.7765,0.2758,0.1338,0.1588,0.1131,1.5369,-0.1625,0.2841,0.1427,0.3507,0.1434,2.292,0.8064
C_genome_pw,0.9193,0.7417,8.37,0.98,0.762,0.2756,3.59,0.42,0.7969,0.5429,6.11,0.96,,,,,,,0.1305,-0.0493,-0.0279,-0.1422,-2.22,-4.2345,0.1291,-0.0645,0.1943,-0.1085,1.7827,-1.4708,,,,,,,0.0047,-0.0301,-0.0171,-0.0795,-1.1954,-3.0035,-0.0193,-0.0413,-0.0289,-0.0599,0.1273,-0.2625,0.2745,0.1153,0.1029,0.0343,-1.3662,-3.0487,0.2582,0.109,0.325,0.0758,2.674,-0.3513
E_deconf_fusion,0.9279,0.754,8.2,0.96,0.7978,0.3577,6.32,0.74,0.8265,0.5821,6.24,0.98,,,,,,,0.1663,-0.0074,0.0541,-0.0381,0.5123,-1.1782,0.1587,-0.0323,0.2334,-0.0446,1.91,-0.5508,,,,,,,0.0405,0.0013,0.065,0.0023,1.5369,-0.7177,0.0103,-0.01,0.0103,-0.02,0.2547,0.0,0.3103,0.1565,0.185,0.1335,1.3662,-0.2046,0.2878,0.1452,0.3641,0.137,2.8014,0.6038
E_genome_host,0.8047,0.4259,7.51,0.88,0.668,0.2697,6.32,0.74,0.7256,0.3641,5.09,0.8,,,,,,,0.0365,-0.0488,-0.0339,-0.0909,0.5123,-0.8603,0.0579,-0.0954,0.0155,-0.1205,0.764,-0.4779,,,,,,,-0.0893,-0.176,-0.023,-0.0999,1.5369,-0.3499,-0.0905,-0.1504,-0.2077,-0.3361,-0.8913,-1.8749,0.1805,0.1223,0.0969,0.0575,1.3662,0.1369,0.1869,0.1017,0.1462,0.0672,1.6554,0.3602
E_all,0.9046,0.6054,7.34,0.86,0.7741,0.3408,6.66,0.78,0.8099,0.46,5.09,0.8,,,,,,,0.1427,0.0027,0.0372,-0.0311,0.8539,-0.796,0.1422,-0.0346,0.1113,-0.0702,0.764,-0.5254,,,,,,,0.0169,-0.0126,0.0481,-0.0203,1.8785,-0.3119,-0.0062,-0.0349,-0.1118,-0.1953,-0.8913,-2.1008,0.2867,0.1658,0.1681,0.133,1.7077,0.1161,0.2712,0.1483,0.242,0.1139,1.6554,0.3037
D_fusion_clean_pca96_s1,0.926,0.7556,8.37,0.98,0.7597,0.3062,5.64,0.66,0.818,0.5704,6.24,0.98,,,,,,,0.1282,-0.0328,0.0026,-0.0933,-0.1708,-2.1938,0.1502,-0.0393,0.2218,-0.0692,1.91,-0.9639,,,,,,,0.0024,-0.0227,0.0135,-0.044,0.8539,-1.3993,0.0018,-0.0152,-0.0014,-0.0233,0.2547,0.0,0.2722,0.1308,0.1334,0.0757,0.6831,-1.1819,0.2793,0.1331,0.3525,0.1174,2.8014,0.1854
