scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,6872,1078,0.1569,0.7787,0.4257,0.74,4.72,0.0343,0.1082,0.5,0.0046,3.19,0.66,0.0612,4.21,0.7806,0.0055
tax_family,6872,1078,0.1569,0.4264,0.1403,0.18,1.15,0.0083,0.1336,0.2,0.0019,1.27,0.17,0.0158,1.08,0.5,0.0
tax_genus,4702,958,0.2037,0.6471,0.3468,0.16,0.79,0.0084,0.1515,0.1,0.001,0.49,0.29,0.0303,1.42,0.6584,0.0685
temporal,3444,247,0.0717,0.8081,0.3041,0.2,2.79,0.0405,0.082,0.3,0.0121,4.18,0.29,0.1174,4.04,0.8081,0.0
