scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9196,1077,0.1171,0.8222,0.4324,0.82,7.0,0.0381,0.1396,1.0,0.0093,8.54,0.77,0.0715,6.57,0.8222,0.0084
tax_family,9196,1077,0.1171,0.6558,0.1798,0.2,1.71,0.0093,0.1766,0.2,0.0019,1.71,0.19,0.0176,1.62,0.6569,0.0459
tax_genus,6093,957,0.1571,0.6788,0.3002,0.52,3.31,0.0272,0.1966,0.8,0.0084,5.09,0.55,0.0575,3.5,0.6766,0.0847
temporal,4597,246,0.0535,0.7927,0.2663,0.52,9.72,0.1057,0.1455,0.7,0.0285,13.08,0.46,0.187,8.6,0.7927,0.0
