scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,6872,1078,0.1569,0.6991,0.333,0.62,3.95,0.0288,0.229,0.6,0.0056,3.82,0.54,0.0501,3.44,0.6971,0.0215
tax_family,6872,1078,0.1569,0.5105,0.2665,0.64,4.08,0.0297,0.2302,0.7,0.0065,4.46,0.55,0.051,3.51,0.5724,0.1743
tax_genus,4702,958,0.2037,0.5513,0.3083,0.66,3.24,0.0344,0.2347,0.6,0.0063,2.94,0.55,0.0574,2.7,0.6064,0.0351
temporal,3444,247,0.0717,0.1583,0.0811,0.18,2.51,0.0364,0.2258,0.4,0.0162,5.58,0.14,0.0567,1.95,0.1583,0.0
