scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9197,1078,0.1172,0.4992,0.117,0.14,1.19,0.0065,0.1035,0.2,0.0019,1.71,0.1,0.0093,0.85,0.5,0.0
tax_family,9197,1078,0.1172,0.4248,0.104,0.12,1.02,0.0056,0.1043,0.1,0.0009,0.85,0.08,0.0074,0.68,0.5,0.0
tax_genus,6094,958,0.1572,0.4895,0.1543,0.18,1.15,0.0094,0.1325,0.1,0.001,0.64,0.16,0.0167,1.02,0.5,0.0
temporal,4598,247,0.0537,0.5,0.0537,0.04,0.74,0.0081,0.067,0.0,0.0,0.0,0.05,0.0202,0.93,0.5,0.0
