scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9196,1077,0.1171,0.8843,0.6711,0.98,8.37,0.0455,0.0693,1.0,0.0093,8.54,0.98,0.091,8.37,0.8845,0.0151
tax_family,9196,1077,0.1171,0.6833,0.1793,0.12,1.02,0.0056,0.1106,0.0,0.0,0.0,0.22,0.0204,1.88,0.684,0.0426
tax_genus,6093,957,0.1571,0.7197,0.3859,0.9,5.73,0.047,0.1255,0.9,0.0094,5.73,0.95,0.0993,6.05,0.7159,0.0884
temporal,4597,246,0.0535,0.8655,0.5642,0.86,16.07,0.1748,0.0758,0.9,0.0366,16.82,0.78,0.3171,14.58,0.8655,0.0
