scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,6872,1078,0.1569,0.9074,0.7532,0.98,6.25,0.0455,0.0927,1.0,0.0093,6.37,0.99,0.0918,6.31,0.9076,0.0077
tax_family,6872,1078,0.1569,0.6664,0.2379,0.28,1.78,0.013,0.1556,0.0,0.0,0.0,0.3,0.0278,1.91,0.6918,0.0668
tax_genus,4702,958,0.2037,0.7476,0.5339,0.98,4.81,0.0511,0.1478,1.0,0.0104,4.91,0.98,0.1023,4.81,0.7512,0.0577
temporal,3444,247,0.0717,0.8841,0.701,1.0,13.94,0.2024,0.1117,1.0,0.0405,13.94,0.97,0.3927,13.53,0.8841,0.0
