scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9197,1078,0.1172,0.7793,0.3751,0.68,5.8,0.0315,0.0863,0.9,0.0083,7.68,0.64,0.0594,5.46,0.7818,0.0081
tax_family,9197,1078,0.1172,0.4248,0.104,0.06,0.51,0.0028,0.1043,0.2,0.0019,1.71,0.06,0.0056,0.51,0.5,0.0
tax_genus,6094,958,0.1572,0.6341,0.2933,0.12,0.76,0.0063,0.1243,0.0,0.0,0.0,0.28,0.0292,1.78,0.633,0.0903
temporal,4598,247,0.0537,0.8221,0.3011,0.42,7.82,0.085,0.0591,0.3,0.0121,5.58,0.41,0.166,7.63,0.8221,0.0
